PK,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION
1975559,52,M,B,Beltzhoover,3,5
1975560,54,M,W,Morningside,7,2
1975561,15,M,B,Hazelwood,5,3
1975562,25,M,W,Perry North,1,1
1975563,18,F,B,Hazelwood,5,3
1975564,16,M,B,Hazelwood,5,3
1975565,29,F,W,Strip District,7,6
1975566,31,M,W,Strip District,7,6
1975567,40,M,B,South Side Flats,3,3
1975568,32,M,W,Allegheny Center,1,6
1975569,50,F,W,Mount Washington,3,5
1975570,25,M,B,Central Lawrenceville,7,2
1975571,21,M,W,Perry North,,
1975572,26,M,B,Perry North,,
1975573,20,F,B,Sheraden,2,5
1975574,30,F,W,Brookline,4,5
1975575,62,F,W,Brookline,4,5
1975576,35,M,W,Homewood North,9,2
1975577,24,M,B,Fineview,6,1
1975578,33,M,B,Troy Hill-Herrs Island,1,1
1975579,52,F,B,Squirrel Hill South,5,3
1975580,24,F,B,South Side Flats,3,3
1975581,23,M,B,,,
1975582,38,F,W,Brighton Heights,1,1
1975583,44,M,W,Hazelwood,5,3
1975584,44,M,W,Homewood South,9,2
1975585,32,M,W,Carrick,4,3
1975586,36,M,B,Lincoln-Lemington-Belmar,9,2
1975587,48,M,B,Middle Hill,6,3
1975588,23,F,B,South Side Flats,3,3
1975589,35,F,W,Beechview,4,5
1975590,52,M,B,Regent Square,5,3
1975591,26,M,W,Brookline,4,5
1975592,43,M,W,Bloomfield,7,2
1975593,24,F,B,Bloomfield,7,2
1975594,,M,B,Highland Park,7,2
1975595,24,F,W,Carrick,4,3
1975596,34,M,W,Golden Triangle/Civic Arena,6,6
1975597,25,F,W,Spring Garden,1,1
1975598,22,M,B,Golden Triangle/Civic Arena,6,6
1975599,26,M,B,East Liberty,8,2
1975600,46,F,W,Sheraden,2,5
1975601,25,M,B,Bedford Dwellings,6,3
1975602,53,F,B,Homewood West,9,2
1975615,30,M,W,Lower Lawrenceville,7,2
1975616,37,F,W,Lower Lawrenceville,7,2
1975617,26,F,B,California-Kirkbride,6,1
1975618,26,M,B,Homewood South,9,2
1975619,32,M,B,Homewood South,9,2
1975620,55,M,B,Homewood North,9,2
1975621,50,M,B,,,
1975622,52,U,B,Squirrel Hill South,5,3
1975623,63,F,B,Bloomfield,7,2
1975624,36,M,W,Hazelwood,5,3
1975625,24,M,B,Carrick,4,3
1975626,17,M,B,Mount Washington,2,5
1975627,16,M,B,Mount Washington,2,5
1975628,22,M,B,Mount Washington,2,5
1975629,58,F,W,Mount Washington,3,5
1975630,38,M,B,Lincoln-Lemington-Belmar,9,2
1975631,20,M,B,West End,2,5
1975632,56,M,B,Mount Washington,2,5
1975633,58,M,W,Mount Washington,2,5
1975634,19,M,B,Allentown,3,5
1975635,30,M,W,Fineview,6,1
1975636,75,M,B,South Side Flats,3,3
